generated_id,smiles,reward,depth,elapsed_time,is_through_filter,predict_trpv1_receptivity,predict_mor_receptivity,predict_dor_receptivity,predict_kor_receptivity,predict_nociceptin_receptivity
2,Nc1cccc(S(=O)(=O)Nc2nc(-c3cccs3)cs2)c1,0.21857750415802013,1,17.4,1,6.9507246,4.4768353,5.222742,3.4303775,5.9298434
3,Fc1ccc(F)cc1NC(=O)[C@@H]1CCCc2ccccc21,0.1198682308197021,1,17.4,1,6.926365,5.546562,4.087671,6.4687386,6.807759
5,Cc1ccc(CCC(=O)Nc2cccc3ncccc23)cc1OC,0.17618238925933838,1,17.4,1,7.2876406,5.284362,4.031395,5.517948,7.269562
6,O=C(Nc1ccccn1)c1cnc([C@@H]2CSCCO2)cc1,0.11124820709228522,1,17.4,1,6.0649853,3.3939352,4.6858053,6.1291428,5.6011295
9,c1cc([C@H]([NH3+])c2n[nH]c3cc(F)ccc23)c(Cl)cc1Cl,0.10985035896301276,1,17.4,1,6.572143,4.6313314,5.796682,5.0581236,6.408421
10,COc1cc(C)c(NC(=O)c2cccc(-n3cnnn3)c2)c(OC)c1,-0.15614498853683473,1,17.4,1,3.7598102,4.692672,4.461084,5.0204253,7.1108594
11,O=C(NCCc1n[nH]c(=O)[nH]1)c1csc2c1CCN(C(=O)c1cccs1)C2,-0.19342743158340453,1,17.4,1,4.2847853,6.494187,5.5110617,4.595562,8.275428
12,N#Cc1ccc(OCC(=O)NNC(=O)c2csc3c2CCC3)cc1,-0.1480924725532532,1,17.4,1,5.045024,6.5156946,6.3110876,4.7050605,8.571952
18,F[C@@H]1COC[C@@H](c2ccccc2)C1,0.11642903089523315,2,21.8,1,7.212527,5.6507454,7.9320207,4.9318113,5.6783686
20,Fc1ccc(CNS(=O)(=O)c2ccc(Cl)cc2N)cc1,-0.12553222179412843,2,21.8,1,4.517612,5.235819,5.562997,5.160042,7.1328793
21,FC(F)(F)CN1CCN(Cc2nc(-c3ccncc3)no2)CC1,0.09805326461791997,2,21.8,1,5.559801,4.4599886,4.468877,4.3996296,4.988579
29,F[C@H](Cc1ccc(Br)cc1)c1ccc(F)c(F)c1,0.09732049703598022,2,21.8,1,6.3524685,5.1859226,5.3084936,4.852545,6.170093
30,c1ccc(CN2CCC[C@@H](c3nc(CSc4ccc(F)cc4)no3)C2)cc1,0.015842723846435536,2,23.4,1,5.108267,4.7916975,5.386633,4.3804092,5.2406187
32,c1ccc2c(c1)CCCN2c1cc(OCCCC(=O)[O-])cnc1Cl,-0.027847790718078635,2,23.4,1,5.3560066,4.601029,5.152501,5.8198,6.964608
33,N#Cc1ccccc1[C@H]([NH3+])Cc1cccc2ccccc12,0.0837862491607666,2,41.5,1,6.553868,3.1676579,6.4573584,5.7751293,7.463876
34,NC(=O)[C@@H](NC(=O)CSc1ccc(Cl)nc1)c1ccc2c(c1)OCCO2,0.021522998809814564,2,41.5,1,5.4553165,5.3238215,5.8777347,3.1820521,6.576738
35,Nc1ccc(F)c(F)c1Br,0.20728651285171512,2,41.5,1,6.7805243,5.3948016,2.5550928,4.4240503,6.4566917
